"","lykke","utdanning","skala10"
"940",6,12,6
"941",9,12,2
"942",8,13,3
"943",8,13,1
"944",10,3,10
"945",6,3,9
"946",9,10,6
"947",8,10,4
"948",9,13,5
"949",9,6,NA
"950",9,9,4
"951",8,10,4
"952",7,3,9
"953",7,11,4
"954",9,6,9
"955",8,7,4
"956",5,6,9
"957",6,6,9
"958",7,6,9
"959",9,11,4
"960",10,10,1
"961",9,11,4
"962",10,3,10
"963",3,3,10
"964",4,5,NA
"965",8,12,3
"966",10,5,10
"967",8,9,1
"968",10,3,10
"969",8,10,3
"970",9,5,9
"971",8,8,5
"972",7,8,2
"973",8,6,9
"974",10,3,10
"975",5,6,9
"976",8,13,4
"977",10,6,10
"978",8,3,9
"979",8,5,9
"980",8,3,9
"981",10,5,1
"982",8,13,3
"983",9,10,2
"984",10,3,9
"985",10,5,9
"986",9,7,9
"987",9,3,10
"988",9,9,6
"989",8,6,6
"990",9,10,2
"991",9,3,8
"992",10,6,9
"993",8,10,5
"994",8,6,10
"995",9,2,9
"996",5,5,10
"997",3,3,10
"998",10,5,9
"999",7,13,4
"1000",9,3,10
"1001",7,6,5
"1002",8,8,5
"1003",9,9,4
"1004",9,3,10
"1005",9,3,9
"1006",8,6,10
"1007",7,6,9
"1008",8,2,10
"1009",9,6,10
"1010",9,6,10
"1011",7,2,10
"1012",10,6,10
"1013",10,6,9
"1014",10,4,10
"1015",8,6,9
"1016",88,6,10
"1017",10,3,NA
"1018",8,3,9
"1019",9,6,8
"1020",10,6,9
"1021",8,9,9
"1022",4,6,9
"1023",8,6,10
"1024",9,3,9
"1025",7,12,2
"1026",9,9,10
"1027",7,6,10
"1028",8,6,10
"1029",9,3,9
"1030",8,6,8
"1031",7,10,6
"1032",7,10,2
"1033",5,7,2
"1034",9,3,10
"1035",5,6,9
"1036",9,11,4
"1037",9,10,2
"1038",8,11,4
"1039",7,6,2
"1040",6,9,7
"1041",9,6,9
"1042",8,3,6
"1043",7,6,10
"1044",9,2,NA
"1045",7,13,3
"1046",9,6,10
"1047",7,10,5
"1048",8,6,10
"1049",7,6,9
"1050",7,6,9
"1051",7,5,9
"1052",9,10,3
"1053",8,6,10
"1054",8,8,9
"1055",9,9,4
"1056",8,13,4
"1057",6,3,9
"1058",8,11,1
"1059",10,6,NA
"1060",7,10,3
"1061",7,6,10
"1062",8,6,5
"1063",5,3,10
"1064",6,6,10
"1065",8,6,1
"1066",7,5,NA
"1067",9,5,5
"1068",9,8,NA
"1069",7,11,4
"1070",6,6,10
"1071",10,3,10
"1072",9,12,4
"1073",8,3,10
"1074",7,9,4
"1075",8,5,2
"1076",10,12,4
"1077",9,8,5
"1078",9,4,10
"1079",10,5,10
"1080",9,10,3
"1081",8,13,4
"1082",8,3,7
"1083",9,3,10
"1084",7,11,9
"1085",9,6,10
"1086",8,6,9
"1087",10,3,10
"1088",10,6,NA
"1089",4,5,9
"1090",9,6,10
"1091",9,12,10
"1092",8,6,10
"1093",9,13,4
